"Customer_Age.x","Gender.x","Annual_Income.x","Credit_Score.x","Purchase_Category.x","BNPL_Provider.x","Purchase_Amount.x","Repayment_Status.x","Income_Bracket","Device_Type","Connection_Type","Checkout_Time_Seconds","Browser","Is_Bad","Cluster"
56,"Male",32293,353,"Beauty","Sezzle",249,"Defaulted","Mid-Tier","Tablet","WiFi",82,"Firefox","1","1"
46,"Male",72774,354,"Groceries","Affirm",188,"Paid On Time","Wealth-Tier","Mobile","WiFi",60,"Firefox","0","2"
32,"Male",82207,630,"Travel","Sezzle",1610,"Paid On Time","Wealth-Tier","Desktop","WiFi",86,"Chrome","0","2"
60,"Male",92498,470,"Fashion","Sezzle",120,"Paid On Time","Wealth-Tier","Mobile","4G/5G",169,"Chrome","0","3"
25,"Male",32060,502,"Travel","Klarna",1849,"Paid On Time","Mid-Tier","Mobile","4G/5G",38,"Chrome","0","1"
38,"Female",94833,779,"Travel","Klarna",1112,"Paid On Time","Wealth-Tier","Mobile","4G/5G",82,"Safari","0","3"
56,"Female",89772,403,"Travel","Klarna",418,"Paid On Time","Wealth-Tier","Desktop","WiFi",169,"Safari","0","3"
36,"Male",82341,731,"Travel","Klarna",2117,"Paid On Time","Wealth-Tier","Desktop","WiFi",14,"Firefox","0","2"
40,"Female",80517,669,"Home & Furniture","Sezzle",286,"Paid On Time","Wealth-Tier","Desktop","4G/5G",164,"Chrome","0","2"
28,"Female",108929,359,"Beauty","Klarna",244,"Defaulted","Wealth-Tier","Tablet","4G/5G",5,"Safari","1","3"
28,"Non-Binary",99953,638,"Electronics","Affirm",489,"Paid On Time","Wealth-Tier","Mobile","4G/5G",167,"Firefox","0","3"
41,"Male",45213,663,"Electronics","Afterpay",1084,"Paid On Time","Mid-Tier","Mobile","WiFi",160,"Firefox","0","1"
53,"Female",63974,516,"Beauty","Afterpay",36,"Paid On Time","Mid-Tier","Mobile","WiFi",72,"Firefox","0","2"
57,"Male",57412,626,"Fashion","Affirm",224,"Paid On Time","Mid-Tier","Mobile","WiFi",146,"Safari","0","2"
41,"Female",83989,443,"Travel","Afterpay",352,"Paid On Time","Wealth-Tier","Mobile","WiFi",130,"Firefox","0","2"
20,"Male",91119,710,"Electronics","Sezzle",447,"Paid On Time","Wealth-Tier","Mobile","WiFi",151,"Firefox","0","3"
39,"Male",20461,844,"Fashion","Afterpay",175,"Paid On Time","Entry-Level","Desktop","4G/5G",54,"Safari","0","1"
19,"Female",80365,405,"Fashion","Sezzle",96,"Paid On Time","Wealth-Tier","Mobile","WiFi",105,"Edge","0","2"
41,"Female",58976,506,"Fashion","Afterpay",261,"Late Payment","Mid-Tier","Desktop","4G/5G",118,"Edge","0","2"
61,"Female",58199,560,"Beauty","Sezzle",41,"Paid On Time","Mid-Tier","Desktop","4G/5G",20,"Edge","0","2"
47,"Male",40384,734,"Home & Furniture","Affirm",193,"Paid On Time","Mid-Tier","Desktop","4G/5G",62,"Safari","0","1"
55,"Male",105191,626,"Beauty","Klarna",123,"Paid On Time","Wealth-Tier","Desktop","WiFi",68,"Edge","0","3"
19,"Female",70522,441,"Groceries","Sezzle",222,"Paid On Time","Wealth-Tier","Mobile","4G/5G",74,"Safari","0","2"
38,"Female",51481,587,"Electronics","Klarna",1923,"Paid On Time","Mid-Tier","Mobile","WiFi",165,"Firefox","0","1"
50,"Female",55193,718,"Home & Furniture","Affirm",262,"Paid On Time","Mid-Tier","Mobile","WiFi",106,"Edge","0","2"
29,"Female",89011,567,"Travel","Klarna",739,"Paid On Time","Wealth-Tier","Mobile","4G/5G",92,"Chrome","0","3"
39,"Male",106070,335,"Beauty","Afterpay",152,"Paid On Time","Wealth-Tier","Mobile","4G/5G",96,"Edge","0","3"
61,"Male",114239,407,"Travel","Affirm",2378,"Paid On Time","Wealth-Tier","Mobile","4G/5G",108,"Safari","0","3"
42,"Male",72064,763,"Groceries","Affirm",39,"Paid On Time","Wealth-Tier","Mobile","WiFi",134,"Firefox","0","2"
44,"Female",85273,837,"Electronics","Afterpay",1587,"Paid On Time","Wealth-Tier","Desktop","WiFi",90,"Firefox","0","2"
59,"Female",38961,776,"Electronics","Klarna",998,"Paid On Time","Mid-Tier","Mobile","WiFi",161,"Firefox","0","1"
45,"Male",112964,791,"Groceries","Sezzle",252,"Paid On Time","Wealth-Tier","Desktop","WiFi",65,"Chrome","0","3"
